text,label
Your credit card has been blocked. Verify information.,1
Your class schedule has been updated.,0
Your package delivery failed. Reschedule now.,1
Meeting scheduled for tomorrow.,0
Security alert! Reset your password immediately.,1
Your order has been shipped successfully.,0
Your payment was processed successfully.,0
Your account password was updated successfully.,0
Your package will arrive tomorrow.,0
Your account has been suspended. Verify immediately.,1
Urgent: Confirm your payment information.,1
Security alert! Reset your password immediately.,1
Unusual login detected. Confirm your identity now.,1
Your bank statement is available.,0
Unusual login detected. Confirm your identity now.,1
Your package delivery failed. Reschedule now.,1
Unusual login detected. Confirm your identity now.,1
Your account password was updated successfully.,0
Urgent: Confirm your payment information.,1
Your payment was processed successfully.,0
Your bank statement is available.,0
Your PayPal account requires verification.,1
Security alert! Reset your password immediately.,1
Your class schedule has been updated.,0
Your package will arrive tomorrow.,0
Your package will arrive tomorrow.,0
Your monthly electricity bill is generated.,0
Your bank statement is available.,0
Your flight ticket confirmation is attached.,0
Your subscription has been renewed.,0
Urgent: Confirm your payment information.,1
Your bank account will be locked. Update details urgently.,1
Your bank statement is available.,0
Your class schedule has been updated.,0
Your class schedule has been updated.,0
Your class schedule has been updated.,0
Your tax refund is ready. Submit details to receive.,1
Meeting scheduled for tomorrow.,0
Your account has been suspended. Verify immediately.,1
Meeting scheduled for tomorrow.,0
Your subscription has been renewed.,0
Your account password was updated successfully.,0
Your monthly electricity bill is generated.,0
Your credit card has been blocked. Verify information.,1
Your PayPal account requires verification.,1
Your account password was updated successfully.,0
Your payment was processed successfully.,0
You have won a prize. Click here to claim now.,1
Your account password was updated successfully.,0
Your class schedule has been updated.,0
Your monthly electricity bill is generated.,0
Security alert! Reset your password immediately.,1
Meeting scheduled for tomorrow.,0
You have won a prize. Click here to claim now.,1
Your tax refund is ready. Submit details to receive.,1
Your order has been shipped successfully.,0
Your bank statement is available.,0
Your package delivery failed. Reschedule now.,1
Security alert! Reset your password immediately.,1
Urgent: Confirm your payment information.,1
Meeting scheduled for tomorrow.,0
Your PayPal account requires verification.,1
Your subscription has been renewed.,0
Your payment was processed successfully.,0
Your class schedule has been updated.,0
Your tax refund is ready. Submit details to receive.,1
Your subscription has been renewed.,0
Your flight ticket confirmation is attached.,0
Your bank account will be locked. Update details urgently.,1
You have won a prize. Click here to claim now.,1
Meeting scheduled for tomorrow.,0
Your account has been suspended. Verify immediately.,1
Your flight ticket confirmation is attached.,0
Your monthly electricity bill is generated.,0
Security alert! Reset your password immediately.,1
Your package will arrive tomorrow.,0
Your order has been shipped successfully.,0
Unusual login detected. Confirm your identity now.,1
Your monthly electricity bill is generated.,0
Your account has been suspended. Verify immediately.,1
Your account password was updated successfully.,0
Your flight ticket confirmation is attached.,0
Your credit card has been blocked. Verify information.,1
Your class schedule has been updated.,0
Your payment was processed successfully.,0
Your monthly electricity bill is generated.,0
Your flight ticket confirmation is attached.,0
You have won a prize. Click here to claim now.,1
Your account has been suspended. Verify immediately.,1
Your account password was updated successfully.,0
Your class schedule has been updated.,0
Security alert! Reset your password immediately.,1
Unusual login detected. Confirm your identity now.,1
Your order has been shipped successfully.,0
Your subscription has been renewed.,0
Your payment was processed successfully.,0
Urgent: Confirm your payment information.,1
Your bank statement is available.,0
Meeting scheduled for tomorrow.,0
Your account password was updated successfully.,0
Your package delivery failed. Reschedule now.,1
Your bank account will be locked. Update details urgently.,1
Your bank account will be locked. Update details urgently.,1
Your account password was updated successfully.,0
Your order has been shipped successfully.,0
Your package delivery failed. Reschedule now.,1
Your order has been shipped successfully.,0
Your payment was processed successfully.,0
Your payment was processed successfully.,0
Your class schedule has been updated.,0
Your credit card has been blocked. Verify information.,1
Your credit card has been blocked. Verify information.,1
Your subscription has been renewed.,0
Your class schedule has been updated.,0
Meeting scheduled for tomorrow.,0
Your bank account will be locked. Update details urgently.,1
Security alert! Reset your password immediately.,1
Your account has been suspended. Verify immediately.,1
Security alert! Reset your password immediately.,1
Your account has been suspended. Verify immediately.,1
Your tax refund is ready. Submit details to receive.,1
Your account password was updated successfully.,0
Your tax refund is ready. Submit details to receive.,1
Your tax refund is ready. Submit details to receive.,1
Your bank account will be locked. Update details urgently.,1
Your package delivery failed. Reschedule now.,1
Your bank statement is available.,0
Meeting scheduled for tomorrow.,0
Your package will arrive tomorrow.,0
Your package will arrive tomorrow.,0
Meeting scheduled for tomorrow.,0
Your package will arrive tomorrow.,0
Your credit card has been blocked. Verify information.,1
Your monthly electricity bill is generated.,0
Your flight ticket confirmation is attached.,0
Your package delivery failed. Reschedule now.,1
Your credit card has been blocked. Verify information.,1
Your payment was processed successfully.,0
Your credit card has been blocked. Verify information.,1
